,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,id,description,steam_appid
1194,1194.0,1194.0,4.0,,,23,Steam Cloud,1870121
1195,1195.0,1195.0,0.0,,,2,Single-player,1870170
1196,1196.0,1196.0,1.0,,,22,Steam Achievements,1870170
1197,1197.0,1197.0,2.0,,,28,Full controller support,1870170
1198,1198.0,1198.0,0.0,,,2,Single-player,1870180
1199,1199.0,1199.0,1.0,,,22,Steam Achievements,1870180
1200,1200.0,1200.0,0.0,,,2,Single-player,1870190
1201,1201.0,1201.0,0.0,,,2,Single-player,1870210
1202,1202.0,1202.0,0.0,,,2,Single-player,1870280
1203,1203.0,1203.0,1.0,,,1,Multi-player,1870280
1204,1204.0,1204.0,2.0,,,49,PvP,1870280
1205,1205.0,1205.0,3.0,,,36,Online PvP,1870280
1206,1206.0,1206.0,0.0,,,2,Single-player,1870310
1207,1207.0,1207.0,0.0,,,2,Single-player,1870320
